,text
267,"Through Asia, from the banks of the Nile to the shores of the Caspian, from the Hellespont even to the sea of Oman, a sudden panic was driven."
268,"Idris, the most affectionate wife, sister and friend, was a tender and loving mother."
269,"But, my dear Frankenstein,"" continued he, stopping short and gazing full in my face, ""I did not before remark how very ill you appear; so thin and pale; you look as if you had been watching for several nights."""
270,"She first assured him of her boundless confidence; of this he must be conscious, since but for that she would not seek to detain him."
271,"He had apparently been strangled, for there was no sign of any violence except the black mark of fingers on his neck."
272,"""Abhorred monster Fiend that thou art The tortures of hell are too mild a vengeance for thy crimes."
273,"No, all must be changed."
274,"Agatha listened with respect, her eyes sometimes filled with tears, which she endeavoured to wipe away unperceived; but I generally found that her countenance and tone were more cheerful after having listened to the exhortations of her father."
275,"Still she felt sure that he would come at last; and the wider the breach might appear at this crisis, the more secure she was of closing it for ever."
276,yet he was never in better health.
277,I was beyond measure disturbed by this intelligence.
278,"""Your arrival, my dear cousin,"" said she, ""fills me with hope."
279,"What, if circumstance should lead Perdita to suspect, and suspecting to be resolved?"
280,"The wind, prince of air, raged through his kingdom, lashing the sea into fury, and subduing the rebel earth into some sort of obedience."
281,The season of the assizes approached.
282,"'By your language, stranger, I suppose you are my countryman; are you French?' ""'No; but I was educated by a French family and understand that language only."
283,"We rapidly drew near, so that at length the number and forms of those within could be discerned; its dark sides grew big, and the splash of its oars became audible: I could distinguish the languid form of my friend, as he half raised himself at our approach."
284,Perdita was still to a great degree uneducated.
285,I feared to wander from the sight of my fellow creatures lest when alone he should come to claim his companion.
286,After all we miscalculated.
287,"His health was impaired beyond hope of cure; and it became his earnest wish, before he died, to preserve his daughter from the poverty which would be the portion of her orphan state."
